[0.000000] (-) TimerEvent: {}
[0.000565] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000601] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000621] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000638] (-) JobUnselected: {'identifier': 'fake_joint_driver'}
[0.000653] (-) JobUnselected: {'identifier': 'geometric_shapes'}
[0.000666] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000936] (-) JobUnselected: {'identifier': 'joint_state_controller'}
[0.001211] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.001268] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.001296] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.001341] (-) JobUnselected: {'identifier': 'moveit_fake_controller_manager'}
[0.001360] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.001384] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.001841] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.002024] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.002060] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.002089] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.002125] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.002154] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.002185] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.002213] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.002240] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.002267] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.002293] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.002320] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.002346] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.002373] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.002400] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.002427] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.002453] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.002487] (-) JobUnselected: {'identifier': 'realsense_examples'}
[0.002522] (-) JobUnselected: {'identifier': 'realsense_msgs'}
[0.002549] (-) JobUnselected: {'identifier': 'realsense_node'}
[0.002583] (-) JobUnselected: {'identifier': 'realsense_ros'}
[0.002610] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.002637] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.002663] (-) JobUnselected: {'identifier': 'run_move_group'}
[0.002690] (-) JobUnselected: {'identifier': 'run_moveit_cpp'}
[0.002724] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.002751] (-) JobUnselected: {'identifier': 'test_robot_hardware'}
[0.002778] (-) JobUnselected: {'identifier': 'tfpose_ros2'}
[0.002793] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.002820] (-) JobUnselected: {'identifier': 'warehouse_ros'}
[0.002847] (-) JobUnselected: {'identifier': 'warehouse_ros_mongo'}
[0.002876] (pose_interface) JobQueued: {'identifier': 'pose_interface', 'dependencies': OrderedDict()}
[0.002907] (pose_interface) JobStarted: {'identifier': 'pose_interface'}
[0.040832] (pose_interface) JobProgress: {'identifier': 'pose_interface', 'progress': 'cmake'}
[0.042510] (pose_interface) JobProgress: {'identifier': 'pose_interface', 'progress': 'build'}
